group,names,scores,logfoldchanges,pvals,pvals_adj
0,LDHB,32.61077,2.757498,2.885597204773881e-233,3.9573080066269e-229
0,RPS12,31.99426,1.0393018,1.3104396101460828e-224,8.98568440677169e-221
0,RPS25,30.129967,1.165151,1.9631815982519512e-199,5.384614487685452e-196
0,RPS27,29.1667,1.0135016,5.130437799005055e-187,8.794852996944415e-184
0,RPS3,29.095617,0.8809198,4.078836147731756e-186,6.215239881110366e-183
0,RPS6,29.035412,0.86690766,2.3518525009959517e-185,3.225330519865848e-182
0,CD3D,28.628014,3.2954874,3.0112569863605694e-180,3.754216210086259e-177
0,RPS14,27.851511,0.7709748,1.0326930474420403e-170,1.0894117271246261e-167
0,TPT1,27.682878,0.943175,1.1224473407235418e-168,1.0262161887121769e-165
0,RPL31,27.459543,1.1190178,5.3442857350066097e-166,4.58072091061754e-163
0,RPL3,27.215687,0.85315686,4.236148027220032e-163,3.417325532076207e-160
0,RPL30,27.120195,1.0097587,5.690861450420194e-162,4.335804107281252e-159
0,RPS15A,26.789333,0.9523255,4.301889707491457e-158,3.105058707817781e-155
0,RPL32,26.587217,0.7292825,9.5410194646161e-156,6.54227704688726e-153
0,RPS27A,26.488537,1.2945889,1.3137554468943434e-154,8.579448666051916e-152
0,RPL9,26.35506,1.0960983,4.4907616034612325e-153,2.7993774831757884e-150
0,RPS18,26.348143,0.76386946,5.390228927603369e-153,3.213982587528374e-150
0,EEF1A1,26.120539,0.7357283,2.1308489856297838e-150,1.217602624538619e-147
0,RPLP2,26.117504,0.8444465,2.306889778998856e-150,1.2654674571676126e-147
0,RPS29,25.588486,1.3078177,2.049298725495687e-144,1.0408919526462167e-141
0,RPL13,25.47813,0.7121505,3.445152188723948e-143,1.6873863255771507e-140
0,RPL27A,25.309214,0.81318843,2.5289748635031634e-141,1.1959434923476684e-138
0,LTB,24.622442,2.5274293,7.264331264963483e-134,3.1132199677409125e-131
0,RPL23A,24.603386,0.8735067,1.1620796531063604e-133,4.829321322030493e-131
0,RPL13A,24.580984,0.679913,2.017768623757491e-133,8.138729090061833e-131
0,RPS3A,24.46456,1.100791,3.5226263438988216e-132,1.3802656480065269e-129
0,RPSA,24.2788,1.1720191,3.2835814440037123e-130,1.2170550249477543e-127
0,RPL21,24.037102,0.86959577,1.138898584589065e-127,4.1102250497511675e-125
0,CD3E,23.957993,2.6787162,7.627458840515106e-127,2.68212744971344e-124
0,RPS4X,23.62456,0.6835572,2.1558443841227762e-123,7.391312470964938e-121
0,RPL11,23.554941,0.5939377,1.117194836620794e-122,3.736880485223797e-120
0,RPS13,23.544964,0.9578057,1.4137388453886471e-122,4.6161939346809304e-120
0,RPS20,23.440805,1.0727596,1.6405559147800807e-121,5.232228794254425e-119
0,RPL35A,23.309439,0.79089457,3.5564967781094855e-120,1.1084953821589428e-117
0,RPS28,22.948177,0.85761076,1.5365071612636116e-116,4.5807954803411235e-114
0,RPLP0,22.938946,1.0640346,1.8997925421410934e-116,5.543352111260203e-114
0,IL32,22.393879,2.5856633,4.515296318675489e-111,1.2900577857149094e-108
0,RPS10,22.169825,0.84670115,6.717200412462873e-109,1.8423937291303169e-106
0,RPL36,22.121372,0.94586045,1.9685114378005405e-108,5.293365854509139e-106
0,RPL14,22.070322,0.68271506,6.095644650354686e-108,1.6076090525954646e-105
0,IL7R,21.734907,2.7962353,9.597502992680146e-105,2.4833991705965194e-102
0,RPL5,21.61892,0.8526109,1.1923449638746973e-103,3.0281145989958515e-101
0,RPL10,21.608093,0.4697379,1.5074745089711927e-103,3.75881916655108e-101
0,NPM1,21.358448,1.3163228,3.254403215011803e-101,7.969801016191404e-99
0,RPS23,21.22739,0.819553,5.334385910359578e-100,1.2834345328889693e-97
0,RPS16,21.11243,0.7047974,6.1145536171843e-99,1.397583138434425e-96
0,JUNB,20.979752,1.1748761,1.0041586089910094e-97,2.1858779624924926e-95
0,RPL10A,20.303267,0.7163248,1.2031388148506477e-91,2.4999766222517852e-89
0,TMEM66,20.120695,1.4614037,4.862118391265793e-90,9.805748767326337e-88
0,RPL19,19.852972,0.5441463,1.0387312793614381e-87,2.0350229664518234e-85
0,MALAT1,19.709902,0.78578347,1.7730841306619276e-86,3.42479940392925e-84
0,NOSIP,19.332594,2.2767959,2.8568446564117545e-83,5.366954468223398e-81
0,RPL36A,19.264261,0.96868616,1.0718288142778949e-82,1.9598747145342734e-80
0,RPS2,18.814198,0.48281538,5.77764696382207e-79,1.0290214345695565e-76
0,RPS15,18.657446,0.55629295,1.0985628378279718e-77,1.8832113447466008e-75
0,RPL18,18.364622,0.6719007,2.521986048513596e-75,4.1174424606327926e-73
0,RPS5,18.261185,0.73688895,1.6859335619737345e-74,2.720105043400917e-72
0,RPL17,18.115828,0.702609,2.3905433256725855e-73,3.81208269398533e-71
0,RPL4,17.832697,0.73355854,3.939445460711909e-71,6.209833913586565e-69
0,RPS26,17.649868,0.95219827,1.0199260375508534e-69,1.5716028852777982e-67
0,RPLP1,17.52043,0.4942177,1.0006534560900315e-68,1.5247734996465214e-66
0,RPS8,17.42661,0.63554454,5.1827590102281305e-68,7.810588688600943e-66
0,RPL7,17.147057,0.71260643,6.611684211808537e-66,9.445066383410653e-64
0,RPS21,16.802,1.0185785,2.3595369202396543e-63,3.301907073894553e-61
0,RPL35,16.739094,0.67079985,6.801613926666911e-63,9.421952867708083e-61
0,RPL38,16.223911,0.88395613,3.4172191656700836e-59,4.6399746176237155e-57
0,RPSAP58,16.110779,1.1822559,2.1430961710174113e-58,2.8534389212944447e-56
0,RPL24,16.05942,0.6924426,4.911261441341854e-58,6.476253789092518e-56
0,RPL22,16.055048,1.047287,5.269861491838457e-58,6.882940999911676e-56
0,BTG1,16.036299,0.99479914,7.127739049949762e-58,9.22168050292557e-56
0,EEF1B2,16.01917,0.8988743,9.389387835005018e-58,1.2034211660678394e-55
0,AES,15.899891,1.6673506,6.347505176664794e-57,8.060156110442683e-55
0,CD2,15.464306,2.2195063,6.042080402226082e-54,7.082144498814401e-52
0,GLTSCR2,15.399394,0.9804245,1.6521028778140995e-53,1.9200795649442847e-51
0,HINT1,15.186501,1.2712841,4.3450307743184285e-52,4.924607606529168e-50
0,RPL18A,15.139643,0.47194695,8.869421826072742e-52,9.889044790468422e-50
