"cohort","patient","cell","MES","AC","OPC","NPC","state","bp_x","bp_y"
"Smart-seq2","MGH101","MGH101-P1-A04",0.434601338078802,-0.305598134022269,-0.313532179707454,-0.254891031276473,"MES",0.799252685911357,-0.689492369355275
"Smart-seq2","MGH101","MGH101-P1-A05",0.386154316619134,-0.217619303698698,-0.307280551126483,-0.219278232263644,"MES",0.681470513429974,-0.605432548882778
"Smart-seq2","MGH101","MGH101-P1-A07",0.236752475958827,-0.283778309027037,-0.240160546299632,-0.182180573315452,"MES",0.604575025771431,-0.418933049274279
"Smart-seq2","MGH101","MGH101-P1-A09",0.254861305315944,-0.281618983732518,-0.300849720141092,-0.246753863606995,"MES",0.619629259235179,-0.501615168922939
"Smart-seq2","MGH101","MGH101-P1-A10",0.10494603104818,-0.306105828811102,-0.447855758275134,-0.318698094188596,"MES",0.4967710117388,-0.423644125236776
"Smart-seq2","MGH101","MGH101-P1-A11",0.437742173308464,-0.542905747546544,-0.538703675666033,-0.269232692404992,"MES",0.985972450151852,-0.706974865713456
"Smart-seq2","MGH101","MGH101-P1-B03",0.941967367364521,-0.534606200456481,-0.466200324159154,-0.203852055731663,"MES",1.30834547756595,-1.14581942309618
"Smart-seq2","MGH101","MGH101-P1-B04",0.416271993357477,-0.320081779586685,-0.372551838215121,-0.325564963816156,"MES",0.796060919253783,-0.741836957173633
"Smart-seq2","MGH101","MGH101-P1-B06",0.644147302539429,-0.30849875323116,-0.323494237165009,-0.128282661567739,"MES",0.965430464400617,-0.772429964107168
"Smart-seq2","MGH101","MGH101-P1-B09",0.5046224219117,-0.149308599343308,-0.318098347603983,-0.200168938827886,"MES",0.725899066813609,-0.704791360739586
"Smart-seq2","MGH101","MGH101-P1-B10",0.745164870029655,-0.411235045143934,-0.321106369058857,-0.267935955714341,"MES",1.10862475793028,-1.013100825744
"Smart-seq2","MGH101","MGH101-P1-B11",1.03954670229054,-0.252508862087174,-0.2084569874829,-0.1000635783093,"MES",1.19664201856275,-1.13961028059984
"Smart-seq2","MGH101","MGH101-P1-B12",0.834430169130032,-0.305275801440348,-0.442975348769201,-0.144104520698517,"MES",1.09741256113848,-0.978534689828548
"Smart-seq2","MGH101","MGH101-P1-C03",0.544889949590239,-0.247039025868014,-0.389679258326222,-0.221239071014611,"MES",0.841513456153995,-0.76612902060485
"Smart-seq2","MGH101","MGH101-P1-C04",0.515505210207015,-0.268560967300748,-0.375176579206066,-0.0964951691120076,"MES",0.835169131060632,-0.612000379319022
"Smart-seq2","MGH101","MGH101-P1-C05",0.549870257894072,-0.399601120056634,-0.461912411393616,-0.130600020933159,"MES",0.963082973308667,-0.68047027882723
"Smart-seq2","MGH101","MGH101-P1-C06",0.613802446524365,-0.390613711253461,-0.446845286026418,-0.0820528335225404,"MES",1.00318207262069,-0.695855280046905
"Smart-seq2","MGH101","MGH101-P1-C07",0.129593952534488,-0.305112538406824,-0.339344915455143,-0.149752695679726,"MES",0.520755623748285,-0.279346648214214
"Smart-seq2","MGH101","MGH101-P1-C09",0.595958482628994,-0.117779682314449,-0.356323117629561,-0.323686723279211,"MES",0.777146702803124,-0.919645205908205
"Smart-seq2","MGH101","MGH101-P1-C12",0.73157127619337,-0.33259317783763,-0.264994406953446,-0.150854429733197,"MES",1.04555791628611,-0.882425705926568
"Smart-seq2","MGH101","MGH101-P1-D04",0.662941258094188,-0.440198521590929,-0.413800658538214,-0.321602240350918,"MES",1.07254473820902,-0.984543498445106
"Smart-seq2","MGH101","MGH101-P1-D05",0.743497646791448,-0.379833393351924,-0.35433077155562,-0.255147174893094,"MES",1.08632931365576,-0.998644821684542
"Smart-seq2","MGH101","MGH101-P1-D07",0.183231491991644,-0.197866855538176,-0.257520520042504,-0.353049348678123,"MES",0.465816057062747,-0.440752012034148
"Smart-seq2","MGH101","MGH101-P1-D08",0.1876815598566,-0.368960401341014,-0.345593150945462,-0.291482288093493,"MES",0.638437152378326,-0.479163847950093
"Smart-seq2","MGH101","MGH101-P1-D09",0.927937527964178,-0.38308966498373,-0.226616770664495,-0.258021990655867,"MES",1.20853423553046,-1.15455429862867
"Smart-seq2","MGH101","MGH101-P1-D10",0.31997052559792,-0.373026054124379,-0.406895759060359,-0.191264919670604,"MES",0.759579058630683,-0.511235445268525
"Smart-seq2","MGH101","MGH101-P1-D11",0.387000014815112,-0.176012219588545,-0.233672145180043,-0.267518843255392,"MES",0.644329071008343,-0.620672159995156
"Smart-seq2","MGH101","MGH101-P1-D12",0.526924432425421,-0.360464194571889,-0.320640770946863,-0.134059780572976,"MES",0.916391514891077,-0.660984212998397
"Smart-seq2","MGH101","MGH101-P1-E03",0.254515605106198,-0.144426006743326,-0.444400151882828,-0.101530288302962,"MES",0.484335749455479,-0.356045893409159
"Smart-seq2","MGH101","MGH101-P1-E04",0.322818121216047,-0.377405412166366,-0.349811539943796,-0.235578106315978,"MES",0.765724434187662,-0.558396227532025
"Smart-seq2","MGH101","MGH101-P1-E09",0.926143148570457,-0.442701249735909,-0.320251872125077,-0.29792236671702,"MES",1.24418343573962,-1.22406551528748
"Smart-seq2","MGH101","MGH101-P1-E10",0.35692015041912,-0.233091767744555,-0.360470741877146,-0.169915335690395,"MES",0.669037579478932,-0.526835486109515
"Smart-seq2","MGH101","MGH101-P1-E12",0.550921079230428,-0.17334324933805,-0.372407146065484,-0.344099554524389,"MES",0.78598095556588,-0.895020633754818
"Smart-seq2","MGH101","MGH101-P1-F04",0.172816441192955,-0.275147928044737,-0.421961562855813,-0.186584127172415,"MES",0.534026101760521,-0.35940056836537
"Smart-seq2","MGH101","MGH101-P1-F06",0.641478836923045,-0.374928794237107,-0.435585938999009,-0.150267480111511,"MES",1.01178731939647,-0.791746317034556
"Smart-seq2","MGH101","MGH101-P1-F08",0.186520271128037,-0.378982416629953,-0.18737870463539,-0.254233056080586,"MES",0.646625985392453,-0.373898975763427
"Smart-seq2","MGH101","MGH101-P1-F09",0.178656574257121,-0.204280599061829,-0.259419023528319,-0.317601997375559,"MES",0.467735616502846,-0.43807559778544
"Smart-seq2","MGH101","MGH101-P1-F10",0.4940144614066,-0.296065097912718,-0.329277456943479,-0.204971267198259,"MES",0.840023708877648,-0.698985728604859
"Smart-seq2","MGH101","MGH101-P1-F11",0.666584277695929,-0.24409827347639,-0.349695867345082,-0.206200582083158,"MES",0.934088102808913,-0.872784859779087
"Smart-seq2","MGH101","MGH101-P1-G02",0.612778437980649,-0.320573597741156,-0.365644934458351,-0.26829156258924,"MES",0.951104355577293,-0.88107000056989
"Smart-seq2","MGH101","MGH101-P1-G03",0.772753826298942,-0.279540758885143,-0.355495243212937,-0.328339604764275,"MES",1.03723782942492,-1.10109343106322
"Smart-seq2","MGH101","MGH101-P1-G10",0.683247873828131,-0.335834063945495,-0.360601204884261,-0.182727647846236,"MES",1.01369945887198,-0.865975521674367
"Smart-seq2","MGH101","MGH101-P1-G11",0.898442923886114,-0.43689768951684,-0.307187098915564,-0.268081017074978,"MES",1.22363298480847,-1.16652394096109
"Smart-seq2","MGH101","MGH101-P1-G12",0.629497757858874,-0.340044037124149,-0.374679544300376,-0.128422077541739,"MES",0.97786003222231,-0.757919835400613
"Smart-seq2","MGH101","MGH101-P1-H04",0.67488013491023,-0.25720781926359,-0.433383883222966,-0.177745378419593,"MES",0.950160771276237,-0.852625513329823
"Smart-seq2","MGH101","MGH101-P1-H10",0.729809842361911,-0.156576727770617,-0.423548776077359,-0.268658254978079,"MES",0.915625352399688,-0.99846809733999
"Smart-seq2","MGH101","MGH101-P1-H12",0.320089311903795,-0.365702358295165,-0.542550773704281,-0.407887391121323,"MES",0.753426259327793,-0.727976703025118
"Smart-seq2","MGH100","MGH100-P5-A01",0.056592811954156,0.673718851608025,0.169011215640357,-0.0912639373074855,"AC",-0.693432127603894,-0.504707635967668
"Smart-seq2","MGH100","MGH100-P5-A03",-0.091861043551748,-0.0528162527950592,0.283830022951292,0.183641298874916,"OPC",-0.137751021872956,0.336646275746351
"Smart-seq2","MGH100","MGH100-P5-A04",0.674793508980318,-0.250968047417756,-0.441749974034837,-0.201550399181943,"MES",0.945429082881318,-0.876343908162261
"Smart-seq2","MGH100","MGH100-P5-A06",0.0118565773536117,-0.0361835832706359,0.171652888578927,0.191228737663108,"NPC",0.0279691054449567,0.179372160309497
"Smart-seq2","MGH100","MGH100-P5-A07",0.0439812864820346,-0.0482839950544381,-0.21148615264802,-0.090146040787108,"MES",0.12732329021121,-0.134127327269143
"Smart-seq2","MGH100","MGH100-P5-A08",-0.148667601860071,-0.0107714077034908,0.101985110998322,0.128843792300958,"NPC",0.0382376482457527,0.139615200004449
"Smart-seq2","MGH100","MGH100-P5-A09",-0.132225480709281,0.124980407405624,0.136001304209314,0.136351172733695,"NPC",0.00050466530698152,0.0113707653280711
"Smart-seq2","MGH100","MGH100-P5-A10",0.992714494873222,-0.518604936766053,-0.481557103199649,-0.328504455126628,"MES",1.32844554638393,-1.32121894999985
"Smart-seq2","MGH100","MGH100-P5-A12",-0.167533512924447,-0.115593361587357,-0.0427340403213164,0.182194963421437,"NPC",0.292698133785828,0.297788325008794
"Smart-seq2","MGH100","MGH100-P5-B02",-0.0297956647098392,0.208963681320807,0.170854832128268,0.145505821450844,"AC",-0.308895942111018,-0.0381088491925395
