"cell","samples","orig.ident","lineage","ExclusionScore"
"cy78_CD45_neg_1_B04_S496_comb","Mel78","cy78","Malignant",0.715639633120711
"cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb","Mel79","cy79","Malignant",0.73864933823447
"CY88_5_B10_S694_comb","Mel88","CY88","Malignant",0.493711432270583
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb","Mel79","cy79","Malignant",0.629436660269572
"cy78_CD45_neg_3_H06_S762_comb","Mel78","cy78","Malignant",0.826433195899611
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb","Mel79","cy79","Malignant",0.64618286996909
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb","Mel79","cy79","Malignant",0.661407604735954
"CY88_3_D02_S614_comb","Mel88","CY88","Malignant",0.513578326572144
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb","Mel79","cy79","Malignant",0.608756598247181
"cy53_1_CD45_neg_C06_S318_comb","Mel53","cy53","Malignant",0.178925070591218
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb","Mel79","cy79","Malignant",0.372623815855357
"Cy71_CD45_D08_S524_comb","Mel71","Cy71","Malignant",0.496162196693236
"Cy81_FNA_CD45_B01_S301_comb","Mel81","Cy81","CAF",0.123901077694057
"CY88_5_B06_S690_comb","Mel88","CY88","Malignant",0.728984855020069
"cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb","Mel79","cy79","Malignant",0.770575456624589
"Cy80_II_CD45_B07_S883_comb","Mel80","Cy80","Malignant",0.488743335296699
"cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb","Mel79","cy79","Malignant",0.750980234740741
"Cy81_Bulk_CD45_B10_S118_comb","Mel81","Cy81","CAF",0.132434123100758
"cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb","Mel79","cy79","Malignant",0.748054509972262
"CY88_3_F01_S637_comb","Mel88","CY88","Malignant",0.710171342465692
"CY88_3_C01_S601_comb","Mel88","CY88","Malignant",0.605789035301026
"CY89NEG_E07_S55_comb","Mel89","CY89NEG","Malignant",0.735871362720478
"CY89CORE11_G02_S170_comb","Mel89","CY89CORE11","Malignant",0.766964621398774
"cy78_CD45_neg_1_D07_S523_comb","Mel78","cy78","Malignant",0.648703713842928
"cy78_CD45_neg_3_D01_S709_comb","Mel78","cy78","Malignant",0.750924784542036
"cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb","Mel79","cy79","CAF",0.167771370798116
"Cy71_CD45_B05_S497_comb","Mel71","Cy71","Malignant",0.345839897804001
"Cy80_II_CD45_C09_S897_comb","Mel80","Cy80","Malignant",0.316714232159825
"cy81_FNA_CD45_neg_D04_S1000_comb","Mel81","cy81","CAF",0.0850620800498853
"cy82_CD45_pos_2_H12_S576_comb","Mel82","cy82","CAF",0.0353907441054591
"cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb","Mel79","cy79","B_cell",0.570701883378777
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb","Mel79","cy79","Malignant",0.659956130602608
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb","Mel79","cy79","Malignant",0.406143181976585
"cy80_CD45_neg_G01_S937_comb","Mel80","cy80","Malignant",0.598161580607266
"cy78_CD45_neg_2_B08_S596_comb","Mel78","cy78","Malignant",0.737174000253948
"cy78_CD45_neg_1_E02_S530_comb","Mel78","cy78","Malignant",0.862789067212365
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb","Mel79","cy79","Malignant",0.590681930120122
"CY89CORE11_A11_S107_comb","Mel89","CY89CORE11","Malignant",0.866824601155329
"cy78_CD45_neg_3_B02_S686_comb","Mel78","cy78","Malignant",0.88022675279032
"cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb","Mel79","cy79","Malignant",0.636345866348116
"cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb","Mel79","cy79","Malignant",0.753952954692503
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb","Mel79","cy79","Malignant",0.77463413704695
"cy81_Bulk_CD45_neg_A10_S106_comb","Mel81","cy81","CAF",0.157932529713383
"cy53_1_CD45_neg_E04_S340_comb","Mel53","cy53","CAF",0.0138587530361198
"cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb","Mel79","cy79","Malignant",0.812206818906156
"cy78_CD45_neg_3_D04_S712_comb","Mel78","cy78","Malignant",0.757419036684311
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb","Mel79","cy79","Malignant",0.617431988356918
"cy81_FNA_CD45_neg_B01_S973_comb","Mel81","cy81","CAF",-0.0769623850718855
"Cy81_FNA_CD45_E05_S341_comb","Mel81","Cy81","CAF",0.077272779561856
"cy78_CD45_neg_3_E02_S722_comb","Mel78","cy78","Malignant",0.750094501055284
"cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb","Mel79","cy79","Malignant",0.773589700107617
"cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb","Mel79","cy79","Malignant",0.461288971131706
"cy78_CD45_neg_3_D10_S718_comb","Mel78","cy78","Malignant",0.657215239353403
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb","Mel79","cy79","Malignant",0.678939195806303
"cy78_CD45_neg_1_G05_S557_comb","Mel78","cy78","Malignant",0.733773716882958
"CY88_5_C12_S708_comb","Mel88","CY88","Malignant",0.643994189436695
"cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb","Mel79","cy79","Malignant",0.626871770921707
"Cy81_Bulk_CD45_E10_S154_comb","Mel81","Cy81","CAF",0.0249562383762847
"CY88CD45_150813_G04_S364_comb","Mel88","CY88CD45","Myeloid",0.262131124530261
"Cy80_II_CD45_H07_S955_comb","Mel80","Cy80","Malignant",0.664332036823
"cy79_p4_CD45_neg_PDL1_neg_B08_S1076_comb","Mel79","cy79","Malignant",0.689473623515201
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B07_S19_comb","Mel79","cy79","Malignant",0.492045991427069
"cy82_CD45_pos_3_A03_S3_comb","Mel82","cy82","CAF",0.102920598467948
"cy79_p4_CD45_neg_PDL1_neg_C12_S1092_comb","Mel79","cy79","Malignant",0.7644865886582
"cy78_CD45_neg_3_G11_S755_comb","Mel78","cy78","Malignant",0.813654248523217
"Cy81_FNA_CD45_D09_S333_comb","Mel81","Cy81","CAF",0.0561852928717534
"cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb","Mel79","cy79","Malignant",0.672164892366732
"Cy71_CD45_E12_S540_comb","Mel71","Cy71","Malignant",0.699324878429969
"cy94_cd45neg_cd90pos_G07_S367_comb","Mel94","cy94","CAF",0.425832859611068
"cy78_CD45_neg_1_H01_S565_comb","Mel78","cy78","Malignant",0.818935249370783
"CY89CORE11_F05_S161_comb","Mel89","CY89CORE11","Malignant",0.49820773293398
"CY89NEG_C03_S27_comb","Mel89","CY89NEG","Malignant",0.955429407199582
"cy81_Bulk_CD45_neg_G01_S169_comb","Mel81","cy81","Myeloid",-0.0179997159400646
"CY89CORE11_B10_S118_comb","Mel89","CY89CORE11","Malignant",0.701524823326046
"cy78_CD45_neg_1_C02_S506_comb","Mel78","cy78","Malignant",0.788603091486652
"CY88_5_G04_S748_comb","Mel88","CY88","Malignant",0.666668993565311
"cy79_p3_CD45_neg_PDL1_neg_H04_S280_comb","Mel79","cy79","Malignant",0.609868043834098
"CY88_3_F05_S641_comb","Mel88","CY88","Malignant",0.241696055493902
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B10_S118_comb","Mel79","cy79","Malignant",0.713543475858221
"Cy71_CD45_G02_S554_comb","Mel71","Cy71","Malignant",0.694022248610084
"cy78_CD45_neg_1_A05_S485_comb","Mel78","cy78","Malignant",0.774318952507875
"cy81_Bulk_CD45_neg_C03_S123_comb","Mel81","cy81","CAF",0.0350340680286382
"cy79_p4_CD45_neg_PDL1_neg_C03_S1083_comb","Mel79","cy79","Malignant",0.712613151754547
"cy94_cd45neg_cd90pos_E08_S344_comb","Mel94","cy94","Malignant",0.536748028040019
"cy81_FNA_CD45_neg_C09_S993_comb","Mel81","cy81","CAF",0.0537032789210972
"cy80_CD45_neg_G04_S940_comb","Mel80","cy80","Malignant",0.438363819336728
"Cy80_II_CD45_H09_S957_comb","Mel80","Cy80","Malignant",0.667728716697676
"cy80_CD45_neg_A09_S873_comb","Mel80","cy80","Malignant",0.551952604761897
"CY88_3_H11_S671_comb","Mel88","CY88","Malignant",0.539848535816099
"Cy80_II_CD45_B11_S887_comb","Mel80","Cy80","Malignant",0.58397039211139
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb","Mel79","cy79","Malignant",0.72701978569699
"CY89NEG_B03_S15_comb","Mel89","CY89NEG","Malignant",0.648541314753833
"Cy81_Bulk_CD45_E04_S148_comb","Mel81","Cy81","CAF",0.0417119211308448
"Cy80_II_CD45_D11_S911_comb","Mel80","Cy80","Malignant",0.629717091083271
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb","Mel79","cy79","Malignant",0.875213080583508
"cy78_CD45_neg_1_E03_S531_comb","Mel78","cy78","Malignant",0.493880068358085
"CY88_3_C10_S610_comb","Mel88","CY88","Malignant",0.624987408148125
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb","Mel79","cy79","Malignant",0.415935315569607
"cy78_CD45_neg_1_E07_S535_comb","Mel78","cy78","Malignant",0.702403057200837
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb","Mel79","cy79","Malignant",0.638918118122309
"CY89NEG_G01_S73_comb","Mel89","CY89NEG","Malignant",0.738315114058526
