"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Endothelial","Myeloid","APP","CD74",0.321332967519586,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","B-cells","APP","CD74",0.294340350306899,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Cancer Epithelial","B-cells","MIF","CD74_CXCR4",0.266775088549322,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Normal Epithelial","Myeloid","APP","CD74",0.232884435886626,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Cancer Epithelial","Myeloid","MIF","CD74_CXCR4",0.224127573117428,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CAFs","CAFs","CD99","CD99",0.221299309480244,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Cancer Epithelial","Myeloid","APP","CD74",0.221109021637802,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Normal Epithelial","B-cells","MIF","CD74_CXCR4",0.216909851372162,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cancer Epithelial","Cancer Epithelial","CLDN3","CLDN3",0.213684425344664,0,"CLDN3_CLDN3","CLDN3 - CLDN3","CLDN","Cell-Cell Contact","PMID: 31942240"
"Normal Epithelial","B-cells","APP","CD74",0.211011578511344,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Cancer Epithelial","B-cells","APP","CD74",0.200053707802939,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","B-cells","MIF","CD74_CXCR4",0.195145025006873,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cancer Epithelial","Myeloid","MIF","CD74_CD44",0.191410997262409,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Endothelial","B-cells","MIF","CD74_CXCR4",0.18955554449376,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CAFs","Myeloid","APP","CD74",0.185239903575498,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Normal Epithelial","Myeloid","MIF","CD74_CXCR4",0.180274013888154,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Myeloid","Myeloid","APOE","TREM2_TYROBP",0.171621335419836,0,"APOE_TREM2_TYROBP","APOE - TREM2","ApoE","Cell-Cell Contact","uniprot;PMID:27477015"
"CAFs","B-cells","APP","CD74",0.166868491778834,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","Myeloid","MIF","CD74_CXCR4",0.161427455027201,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
