"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Cancer Epithelial","B-cells","MIF","CD74_CXCR4",0.319390605140713,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","Myeloid","APP","CD74",0.282056576284615,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Cancer Epithelial","Myeloid","MIF","CD74_CD44",0.275815061798807,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Endothelial","B-cells","APP","CD74",0.26860355052823,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Cancer Epithelial","Myeloid","MIF","CD74_CXCR4",0.235026024361126,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cancer Epithelial","B-cells","MIF","CD74_CD44",0.232934627979829,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Endothelial","B-cells","MIF","CD74_CXCR4",0.231462548845587,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cancer Epithelial","Plasmablasts","MIF","CD74_CXCR4",0.229969477042838,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CAFs","B-cells","MIF","CD74_CXCR4",0.22363495548073,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","Endothelial","APP","CD74",0.215946666486067,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Cancer Epithelial","Myeloid","APP","CD74",0.21138011124416,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Myeloid","B-cells","MIF","CD74_CXCR4",0.208800754044248,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"T-cells","B-cells","MIF","CD74_CXCR4",0.202218510398649,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cancer Epithelial","B-cells","APP","CD74",0.200357335401885,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","Myeloid","COL1A1","CD44",0.197185730276593,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Myeloid","MIF","CD74_CD44",0.19642123605869,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Myeloid","Myeloid","APOE","TREM2_TYROBP",0.195449444764774,0,"APOE_TREM2_TYROBP","APOE - TREM2","ApoE","Cell-Cell Contact","uniprot;PMID:27477015"
"CAFs","Myeloid","COL1A2","CD44",0.194884080863875,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAFs","CAFs","CD99","CD99",0.189571095723869,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"CAFs","Myeloid","MIF","CD74_CD44",0.189486495032986,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Plasmablasts","B-cells","MIF","CD74_CXCR4",0.180886256450181,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Cancer Epithelial","Plasmablasts","MIF","CD74_CD44",0.178546723313741,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Myeloid","Myeloid","MIF","CD74_CD44",0.176402759238486,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"CAFs","Plasmablasts","COL1A1","CD44",0.171711386404988,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"T-cells","Myeloid","MIF","CD74_CD44",0.170621585275968,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"CAFs","Plasmablasts","COL1A2","CD44",0.1696442527094,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAFs","Myeloid","APP","CD74",0.167820111076793,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"T-cells","Myeloid","APP","CD74",0.166864560016334,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","Myeloid","MIF","CD74_CXCR4",0.164703064396945,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","B-cells","MIF","CD74_CD44",0.163104017566375,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Endothelial","Endothelial","PECAM1","PECAM1",0.162400993604952,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514"
"Endothelial","Plasmablasts","MIF","CD74_CXCR4",0.160841387652878,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CAFs","Myeloid","MIF","CD74_CXCR4",0.158667037925755,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CAFs","B-cells","APP","CD74",0.158611985757143,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Cancer Epithelial","Endothelial","APP","CD74",0.158185811978229,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","Myeloid","FN1","CD44",0.158119946497266,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"T-cells","B-cells","APP","CD74",0.157698929281847,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","B-cells","MIF","CD74_CD44",0.157115570127331,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Endothelial","CAFs","CD99","CD99",0.156250499366413,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"CAFs","Endothelial","CD99","CD99",0.156250499366413,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"CAFs","Myeloid","COL6A2","CD44",0.155274629320731,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAFs","Plasmablasts","MIF","CD74_CXCR4",0.154920635791743,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Plasmablasts","Myeloid","MIF","CD74_CD44",0.151987509941722,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
