"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Endothelial","B-cells","APP","CD74",0.227589783184658,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","Myeloid","APP","CD74",0.213105185473317,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","Myeloid","COL1A2","CD44",0.169349623155375,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Normal Epithelial","B-cells","APP","CD74",0.161765138917816,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","Endothelial","APP","CD74",0.161653314831087,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","Endothelial","PECAM1","PECAM1",0.160276493523134,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514"
"CAFs","Myeloid","COL1A1","CD44",0.159858805365483,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Normal Epithelial","Myeloid","APP","CD74",0.150652755713332,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","B-cells","APP","CD74",0.150326907125209,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","PVL","COL1A2","ITGA1_ITGB1",0.149731623489577,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Cancer Epithelial","APP","CD74",0.145667774382562,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Endothelial","Normal Epithelial","APP","CD74",0.141245015082071,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","PVL","COL1A1","ITGA1_ITGB1",0.141153421975707,0,"COL1A1_ITGA1_ITGB1","COL1A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Plasmablasts","APP","CD74",0.141123097630875,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","Myeloid","APP","CD74",0.139869157610771,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"CAFs","Myeloid","FN1","CD44",0.139441304829145,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"CAFs","CAFs","COL1A2","CD44",0.137318588382164,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"CAFs","Cancer Epithelial","MDK","NCL",0.132136272735633,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
