top_n,py_cluster,r_cluster,n_py_genes,n_r_genes,jaccard
10,0,3,10,10,0.3333333333333333
10,1,2,10,10,0.1111111111111111
10,2,0,10,10,0.1111111111111111
10,3,1,10,10,0.25
10,4,4,10,10,0.05263157894736842
10,5,5,10,10,0.17647058823529413
10,6,0,10,10,0.0
10,7,6,10,10,0.05263157894736842
25,0,3,25,25,0.35135135135135137
25,1,2,25,25,0.25
25,2,0,25,25,0.13636363636363635
25,3,1,25,25,0.1111111111111111
25,4,4,25,25,0.08695652173913043
25,5,5,25,25,0.19047619047619047
25,6,0,25,25,0.02040816326530612
25,7,6,25,25,0.16279069767441862
50,0,3,50,50,0.3888888888888889
50,1,2,50,50,0.4492753623188406
50,2,0,50,50,0.14942528735632185
50,3,1,50,50,0.19047619047619047
50,4,4,50,50,0.19047619047619047
50,5,5,50,50,0.3157894736842105
50,6,0,50,50,0.06382978723404255
50,7,6,50,50,0.17647058823529413
