"cluster","rank","gene","score","pval","pval_adj","logfc"
"0",1,"MAL",4.18413959942435,1.10479783376404e-78,1.51511974922401e-74,4.18413959942435
"0",2,"LEF1",3.22133360702973,3.19352328084451e-82,4.37959782735016e-78,3.22133360702973
"0",3,"AQP3",2.93996876176713,4.16679221083374e-72,5.71433883793739e-68,2.93996876176713
"0",4,"CCR7",2.72290360146529,1.62943583162403e-83,2.23460829948919e-79,2.72290360146529
"0",5,"PRKCQ-AS1",2.60826049678726,5.78716098280258e-68,7.93651257181546e-64,2.60826049678726
"0",6,"TRAT1",2.45589638649133,2.37863477488039e-69,3.26205973027096e-65,2.45589638649133
"0",7,"FLT3LG",2.21382223871045,1.85804108186409e-54,2.54811753966841e-50,2.21382223871045
"0",8,"IL7R",2.08607338521311,5.45097697364409e-133,7.4754698216555e-129,2.08607338521311
"0",9,"PIK3IP1",1.98553131443801,3.090726477335e-67,4.23862229101722e-63,1.98553131443801
"0",10,"LDHB",1.92800555688787,6.62378814670769e-241,9.08386306439493e-237,1.92800555688787
"0",11,"TCF7",1.92564537258128,2.2791896374026e-54,3.12568066873392e-50,1.92564537258128
"0",12,"CD3D",1.8467418041214,1.34596677761188e-199,1.84585883881694e-195,1.8467418041214
"0",13,"NOSIP",1.80307154621856,6.71166949735104e-100,9.20438354866722e-96,1.80307154621856
"0",14,"CD3E",1.76928823354394,1.14881421935459e-145,1.57548382042288e-141,1.76928823354394
"0",15,"CD27",1.74911489692557,1.21135096538622e-78,1.66124671393066e-74,1.74911489692557
"0",16,"RGCC",1.73749812877415,1.31964977350492e-54,1.80976769938465e-50,1.73749812877415
"0",17,"CD2",1.66071367143459,1.32476245335444e-75,1.81677922853028e-71,1.66071367143459
"0",18,"LEPROTL1",1.57677771753949,5.44893600321483e-44,7.47267083480882e-40,1.57677771753949
"0",19,"SPOCK2",1.53418100562809,6.79735840197376e-42,9.32189731246681e-38,1.53418100562809
"0",20,"CD3G",1.53220541267687,1.70427398100377e-56,2.33724133754858e-52,1.53220541267687
"0",21,"SOCS3",1.45995672493007,7.18760537567689e-22,9.85708201220329e-18,1.45995672493007
"0",22,"LAT",1.41236087487995,5.26122767443207e-40,7.21524763271615e-36,1.41236087487995
"0",23,"LTB",1.40554202226642,7.14484681711601e-137,9.79844292499289e-133,1.40554202226642
"0",24,"DNAJB1",1.38304738004342,8.37340232227119e-36,1.14832839447627e-31,1.38304738004342
"0",25,"PRDX2",1.36760109802006,1.6116125212594e-49,2.21016541165515e-45,1.36760109802006
